vertical,type,handle_or_domain,label
tech,twitter,@A_Elyas,Abdullah Elyas (Careem co-founder)
tech,twitter,@MokhtarChahine,Mokhtar Chahine (VC)
tech,twitter,@MAGNiTT,MAGNiTT (startup data)
tech,twitter,@staborabia,Startupboost Arabia
tech,twitter,@ABORASHED2020,Abo Rashed (tech influencer)
tech,domain,magnitt.com,MAGNiTT Startup Platform
tech,domain,menabytes.com,MENAbytes Tech News
tech,domain,wamda.com,Wamda Entrepreneurship
tech,domain,arabnet.me,ArabNet Digital
tech,domain,zawya.com,Zawya Business Intel
finance,twitter,@Argaam,Argaam Financial
finance,twitter,@CNBCArabia,CNBC Arabia
finance,twitter,@AlArabiya_Bn,Al Arabiya Business
finance,twitter,@aleaborsa,Al Eqtisadiah Borsa
finance,twitter,@tadaborsa,Tadawul Borsa
finance,domain,argaam.com,Argaam Financial News
finance,domain,aleqt.com,Al Eqtisadiah Newspaper
finance,domain,asharqbusiness.com,Asharq Business
finance,domain,bloomberglinea.com,Bloomberg Linea ME
finance,domain,economy.sa,Saudi Economy Portal
lifestyle,twitter,@Lolooo_A,Loujain (lifestyle influencer)
lifestyle,twitter,@saborinyah,Saborinyah (food/lifestyle)
lifestyle,twitter,@rilounge,Riyadh Lounge
lifestyle,twitter,@SaudiTravelHub,Saudi Travel Hub
lifestyle,twitter,@HalalFoodTrail,Halal Food Trail
lifestyle,domain,sayidaty.net,Sayidaty Magazine
lifestyle,domain,hiamag.com,Hia Magazine
lifestyle,domain,saudigazette.com.sa,Saudi Gazette Lifestyle
lifestyle,domain,destination-ksa.com,Destination KSA
lifestyle,domain,timeoutriyadh.com,TimeOut Riyadh
marketing,twitter,@mikialmumtaz,Miki Al Mumtaz (digital marketing)
marketing,twitter,@DigitalArabi,Digital Arabi
marketing,twitter,@SMMEgypt,Social Media Marketing Egypt
marketing,twitter,@hussamsm,Hussam (marketing strategist)
marketing,twitter,@Markethinksa,Market Think Saudi
marketing,domain,digitalmarketing.sa,Digital Marketing SA
marketing,domain,bfrancmarketing.com,B Franc Marketing
marketing,domain,thinkmarketingmagazine.com,Think Marketing Magazine
marketing,domain,arabianbusiness.com,Arabian Business
marketing,domain,digitalmarketingcommunity.com,Digital Marketing Community
culture,twitter,@Aborashed_sa,Aborashed Cultural
culture,twitter,@RiyadhSeason,Riyadh Season Official
culture,twitter,@AlUlaHQ,AlUla Official
culture,twitter,@ABORASHED2020,Saudi Culture Commentary
culture,twitter,@Saudi_Funnies,Saudi Funnies (viral content)
culture,domain,spa.gov.sa,Saudi Press Agency
culture,domain,aawsat.com,Asharq Al-Awsat
culture,domain,alarabiya.net,Al Arabiya
culture,domain,aljazeera.net,Al Jazeera Arabic
culture,domain,thenationalnews.com,The National UAE
ecommerce,twitter,@NoonSaudi,Noon Saudi
ecommerce,twitter,@Jarir,Jarir Bookstore
ecommerce,twitter,@ExtraSaudi,Extra Saudi
ecommerce,twitter,@Fintokei,Fintokei Saudi
ecommerce,twitter,@SallaApp,Salla E-commerce Platform
ecommerce,domain,noon.com,Noon Marketplace
ecommerce,domain,salla.sa,Salla Platform
ecommerce,domain,zid.sa,Zid E-commerce
ecommerce,domain,amazon.sa,Amazon Saudi
ecommerce,domain,jarir.com,Jarir Online
sports,twitter,@AlHilal_FC,Al Hilal FC
sports,twitter,@AlNassrFC,Al Nassr FC
sports,twitter,@SPaborsa,Saudi Pro League
sports,twitter,@AlAhliSaudi,Al Ahli Saudi
sports,twitter,@Ittaborsa,Al Ittihad
sports,domain,goalsa.com,Goal Saudi Arabia
sports,domain,arriyadiyah.com,Al Riyadiyah Sports
sports,domain,kooora.com,Kooora Sports
sports,domain,supermatch.sa,SuperMatch KSA
sports,domain,sportssaudi.com,Sports Saudi
realestate,twitter,@SaudiRealEst,Saudi Real Estate
realestate,twitter,@aqaborsa,Real Estate Market
realestate,twitter,@Roshn_SA,ROSHN Group
realestate,twitter,@DarGlobal_news,Dar Global
realestate,twitter,@NEOM,NEOM
realestate,domain,bayut.sa,Bayut Saudi
realestate,domain,aqar.fm,Aqar Real Estate
realestate,domain,roshn.sa,ROSHN Living
realestate,domain,daralglobal.com,Dar Al Global
realestate,domain,neom.com,NEOM Official
food,twitter,@TheFoodieKSA,The Foodie KSA
food,twitter,@HungerStation,HungerStation
food,twitter,@ToYouApp,ToYou Delivery
food,twitter,@Albaik_care,Al Baik Official
food,twitter,@SaudiFoodie_,Saudi Foodie
food,domain,hungerstation.com,HungerStation
food,domain,toyou.sa,ToYou Delivery
food,domain,jahez.net,Jahez Delivery
food,domain,talabat.com,Talabat
food,domain,thefoodieksa.com,The Foodie KSA Blog
health,twitter,@SaudiMOH,Saudi Ministry of Health
health,twitter,@KFSHRC,King Faisal Hospital
health,twitter,@GlobeMedSA,GlobeMed Saudi
health,twitter,@Sehhaty_KSA,Sehhaty Health
health,twitter,@SaudiFitness,Saudi Fitness Community
health,domain,moh.gov.sa,Ministry of Health
health,domain,seha.sa,Seha Health Portal
health,domain,webteb.com,WebTeb Arabic Health
health,domain,altibbi.com,Al Tibbi Medical
health,domain,saudigazette.com.sa/health,Saudi Gazette Health
