vertical,type,handle_or_domain,label,youtube_handle
tech,youtube,@saudi_tech,Saudi Tech,@sauditech
finance,youtube,@argaam_tv,Argaam TV,@ArgaamTV
lifestyle,youtube,@saudistyle_yt,Saudi Style YT,@saudistyle_yt
finance,youtube,@alayyam,Al Ayyam,@alayyam
news,youtube,@alarabiya,Al Arabiya,@AlArabiya
entertainment,youtube,@telfaz11,Telfaz11,@Telfaz11
sports,youtube,@ssc_sports,SSC Sports,@SSCSports
culture,youtube,@thmanyah,Thmanyah,@thmanyah
tech,youtube,@tech_echo,Tech Echo,@TechEcho
finance,youtube,@maaal,Maaal,@Maaal
lifestyle,youtube,@luxury_ksa,Luxury KSA,@luxuryksa
entertainment,youtube,@saudi_broadcasting,Saudi Broadcasting Authority,@SaudiBroadcasting
news,youtube,@saudinews50,Saudi News 50,@SaudiNews50
food,youtube,@saudi_foodie,Saudi Foodie,@SaudiFoodie
sports,youtube,@alriyadiyah,Alriyadiyah,@Alriyadiyah
business,youtube,@misk_foundation,Misk Foundation,@MiskFoundation
culture,youtube,@riyadh_season,Riyadh Season,@RiyadhSeason
tech,youtube,@abdullah_al_sabe,Abdullah Al Sabe,@AbdullahAlSabe
finance,youtube,@cnbc_arabia,CNBC Arabia,@CNBCArabia
lifestyle,youtube,@family_ksa,Family KSA,@familyksa
entertainment,youtube,@mbc1,MBC1,@MBC1
news,youtube,@al_ekhbariya,Al Ekhbariya,@AlEkhbariya
sports,youtube,@saudi_football,Saudi Football,@SaudiFootball
business,youtube,@monshaat,Monshaat,@Monshaat
culture,youtube,@moe_ksa,Ministry of Education,@moeksa
tech,youtube,@citc_ksa,CITC KSA,@CITC_KSA
finance,youtube,@saudi_stock_exchange,Tadawul,@Tadawul
lifestyle,youtube,@jeddah_events,Jeddah Events,@JeddahEvents
entertainment,youtube,@rotana,Rotana,@Rotana
news,youtube,@okaz,Okaz,@Okaz
